Det,etie_nomtienda_0,ID pedido,Sum_Cant piezas,Fecha de entrega,Estatus,Venta Neta,Fin de captura
2644,PATIO TLALPAN,27854161,10,9/10/2019 17:00,7,379.8069565,9/10/2019 13:35
4012,JARDINES DEL SOL,27854162,5,9/10/2019 17:00,7,152.22,9/10/2019 13:36
3847,SATELITE,27854163,13,9/10/2019 17:00,7,368.5369565,9/10/2019 13:37
4071,PATRIA,27854164,9,9/10/2019 17:00,7,300.1469565,9/10/2019 13:37
1203,SUPER PLAZA ECATEPEC,27854165,10,9/10/2019 17:00,7,179.5369565,9/10/2019 13:37
3854,PIRULES,27854166,27,9/10/2019 17:00,7,639.0369565,9/10/2019 13:36
4012,JARDINES DEL SOL,27854167,23,9/10/2019 20:00,7,524.79,9/10/2019 13:36
2349,ACAPULCO,27854168,33,9/10/2019 17:00,7,1331.196957,9/10/2019 13:36
2356,QUERETARO,27854169,149,9/10/2019 19:00,7,4580.016957,9/10/2019 13:35
1054,COLIMA NORTE,27854196,6,9/10/2019 17:00,7,1102.046957,9/10/2019 13:38
3845,UNIVERSIDAD,27854198,133,9/10/2019 17:00,7,3684.06,9/10/2019 13:38
2347,TLAHUAC,27854199,1,9/10/2019 20:00,7,304,9/10/2019 13:40
3846,BUENAVISTA,27854200,10,9/10/2019 21:00,7,327.5869565,9/10/2019 13:38
2670,TLALPAN,27854203,9,9/10/2019 17:00,7,258.21,9/10/2019 13:40
1801,CIUDAD JUDICIAL,27854204,15,9/10/2019 17:00,7,500.57,9/10/2019 13:38
2379,CULIACAN,27854205,19,9/10/2019 19:00,7,678.7269565,9/10/2019 13:38
2466,CUITLAHUAC,27854206,16,9/10/2019 18:00,7,336.4969565,9/10/2019 13:38
3069,LOS CABOS,27854207,18,9/10/2019 16:00,7,582.6369565,9/10/2019 13:38
3847,SATELITE,27854208,19,9/10/2019 17:00,7,531.9969565,9/10/2019 13:40
4012,JARDINES DEL SOL,27854209,18,9/10/2019 18:00,7,458.1,9/10/2019 13:40
2382,INTERLOMAS,27854210,8,9/10/2019 17:00,7,546.8669565,9/10/2019 13:40
1403,CHAPALA,27854211,34,9/10/2019 17:00,7,1326.33,9/10/2019 13:38
2033,PLAZA ORIENTE,27854213,44,9/10/2019 18:00,7,1130.296957,9/10/2019 13:39
2446,AVERANDA,27854214,45,9/10/2019 17:00,7,1316.466957,9/10/2019 13:40
4071,PATRIA,27854215,85,9/10/2019 19:00,7,2700.766957,9/10/2019 13:38
4062,MANZANILLO,27854216,2,9/10/2019 17:00,7,115.44,9/10/2019 13:41
3853,SAN MANUEL,27854217,1,9/10/2019 18:00,7,64.51695652,9/10/2019 13:41
1140,PLAZA SAN PEDRO,27854218,2,9/10/2019 18:00,7,762.19,9/10/2019 13:41
2380,CD OBREGON,27854219,7,9/10/2019 21:00,7,1896.15,9/10/2019 13:42
3863,PERIFERICO SUR,27854220,16,9/10/2019 17:00,7,445.4369565,9/10/2019 13:42
3846,BUENAVISTA,27854221,9,9/10/2019 21:00,7,399.6169565,9/10/2019 13:41
5765,LAS AMERICAS,27854222,9,9/10/2019 17:00,7,394.45,9/10/2019 13:41
2464,MIRAMONTES,27854223,19,9/10/2019 18:00,7,593.4169565,9/10/2019 13:41
1022,LOPEZ MATEOS,27854224,12,9/10/2019 17:00,7,273.0769565,9/10/2019 13:42
5749,PLAZA DE TOROS,27854225,12,9/10/2019 17:00,7,890.1069565,9/10/2019 13:42
2284,COFRADIAS,27854227,19,9/10/2019 17:00,7,708.6269565,9/10/2019 13:43
3505,POLIGONO SUR,27854228,20,9/10/2019 19:00,7,510.2069565,9/10/2019 13:43
1083,BARRANCA DEL MUERTO,27854229,31,9/10/2019 17:00,7,855.1969565,9/10/2019 13:41
2347,TLAHUAC,27854230,33,9/10/2019 21:00,7,1156.4,9/10/2019 13:41
3239,PASEO REAL,27854231,39,9/10/2019 17:00,7,1723.466957,9/10/2019 13:42
3845,UNIVERSIDAD,27854232,52,9/10/2019 21:00,7,1306.166957,9/10/2019 13:43
1083,BARRANCA DEL MUERTO,27854233,81,9/10/2019 17:00,7,2518.256957,9/10/2019 13:41
1139,LA HUASTECA,27854265,1,9/10/2019 21:00,7,17.5,9/10/2019 13:46
3721,AVILA CAMACHO,27854266,3,9/10/2019 18:00,7,113.2069565,9/10/2019 13:45
3909,CORDOBA,27854267,3,9/10/2019 17:00,7,43.45695652,9/10/2019 13:46
3847,SATELITE,27854268,5,9/10/2019 17:00,7,679.6369565,9/10/2019 13:45
3845,UNIVERSIDAD,27854269,15,9/10/2019 17:00,7,868.3969565,9/10/2019 13:46
1489,HIPERPLAZA TEXCOCO,27854270,18,9/10/2019 17:00,7,970.0569565,9/10/2019 13:45
3721,AVILA CAMACHO,27854271,21,9/10/2019 19:00,7,578.2569565,9/10/2019 13:44
4157,PERIFERICO CUAUTITLAN,27854272,18,9/10/2019 17:00,7,281.4669565,9/10/2019 13:44
4018,SANTA MARIA COACALCO,27854273,35,9/10/2019 17:00,7,766.7969565,9/10/2019 13:45
